title,price,prod_rating,rating_count,discount,seller_rating
"REDMI 11 Prime (Flashy Black, 64 GB)  (4 GB RAM)","₹9,999",4.3,"2,871",33%,4.9
"POCO X5 5G (Wildcat Blue, 128 GB)  (6 GB RAM)","₹15,999",4.1,"8,513",23%,4.9
"realme C30 (Denim Black, 32 GB)  (2 GB RAM)","₹5,999",4.2,"1,05,022",29%,5
"POCO M5 (Icy Blue, 128 GB)  (6 GB RAM)","₹10,999",4.2,"3,950",42%,5
"realme C30 (Denim Black, 32 GB)  (3 GB RAM)","₹6,499",4.1,"56,438",30%,5
"realme C33 2023 (Night Sea, 128 GB)  (4 GB RAM)","₹10,499",4.4,"14,462",25%,5
"APPLE iPhone 13 (Midnight, 128 GB)","₹58,499",4.7,"2,27,342",16%,5
"MOTOROLA G62 5G (Midnight Gray, 128 GB)  (8 GB RAM)","₹16,499",4.1,"15,796",34%,4.9
"MOTOROLA G62 5G (Frosted Blue, 128 GB)  (8 GB RAM)","₹16,499",4.1,"15,796",34%,4.9
"POCO M4 Pro (Yellow, 128 GB)  (8 GB RAM)","₹13,999",4.2,"21,786",36%,4.9
"MOTOROLA e13 (Aurora Green, 64 GB)  (4 GB RAM)","₹7,499",4,"28,345",31%,4.9
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)  (6 GB RAM)","₹14,490",4.2,"17,115",21%,4.9
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)","₹8,499",4.2,"27,868",26%,4.9
"REDMI A1+ (Light Blue, 32 GB)  (2 GB RAM)","₹6,299",4.2,"6,537",37%,4.5
"POCO M5 (Icy Blue, 64 GB)  (4 GB RAM)","₹8,999",4.2,"8,662",43%,5
"POCO M4 5G (Yellow, 128 GB)  (6 GB RAM)","₹13,999",4.2,"41,669",26%,5
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)  (4 GB RAM)","₹10,999",4.3,"1,53,895",26%,4.9
"REDMI 11 Prime (Peppy Purple, 64 GB)  (4 GB RAM)","₹9,999",4.3,"2,871",33%,4.9
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)  (4 GB RAM)","₹7,837",4.1,"3,209",34%,4.1
"Infinix Note 12 Pro 5G (Snowfall, 128 GB)  (8 GB RAM)","₹15,999",4.1,"28,073",36%,5
"Infinix Note 12 Pro 5G (Force Black, 128 GB)  (8 GB RAM)","₹15,999",4.1,"28,073",36%,5
Kechaoda K112  (Green),"₹1,499",4,"21,959",16%,4
"POCO M5 (Power Black, 128 GB)  (6 GB RAM)","₹10,999",4.2,"3,950",42%,5
"REDMI 10 (Pacific Blue, 128 GB)  (6 GB RAM)","₹10,999",4.2,"38,698",35%,4.9
"Infinix Smart 7 HD (Silk Blue, 64 GB)  (2 GB RAM)","₹6,199",4.4,"8,109",22%,4.8
"Infinix Smart 7 HD (Ink Black, 64 GB)  (2 GB RAM)","₹6,199",4.4,"8,109",22%,4.8
"REDMI A1+ (Black, 32 GB)  (2 GB RAM)","₹6,299",4.2,"6,537",37%,4.9
"Infinix Smart 7 HD (Jade White, 64 GB)  (2 GB RAM)","₹6,199",4.4,"8,109",22%,4.8
